Building_ID,Soil_Type,SBC_Value,AI_Thickness_mm,Excavation_Depth_m,Concrete_Vol_m3,Steel_Req_kg
Row1_Col1,Black Cotton,80,866,1.02,1040.0,114396
Row1_Col2,Black Cotton,80,866,1.02,1040.0,114396
Row1_Col3,Black Cotton,80,866,1.02,1040.0,114396
Row1_Col5,Black Cotton,80,866,1.02,1040.0,114396
Row1_Col6,Black Cotton,80,866,1.02,1040.0,114396
Row2_Col1,Black Cotton,80,866,1.02,1040.0,114396
Row2_Col2,Black Cotton,80,866,1.02,1040.0,114396
Row2_Col3,Hard Rock,600,202,0.35,242.5,26677
Row2_Col5,Black Cotton,80,866,1.02,1040.0,114396
Row2_Col6,Black Cotton,80,866,1.02,1040.0,114396
